State,Population (2018),U.S. House Seats
AL,4887871,7
AK,737438,1
AZ,7171646,9
AR,3013825,4
CA,39557045,53
CO,5695564,7
CT,3572665,5
DE,967171,1
FL,21299325,27
GA,10519475,14
HI,1420491,2
ID,1754208,2
IL,12741080,18
IN,6691878,9
IA,3156145,4
KS,2911505,4
KY,4468402,6
LA,4659978,6
ME,1338404,2
MD,6042718,8
MA,6902149,9
MI,9995915,14
MN,5611179,8
MS,2986530,4
MO,6126452,8
MT,1062305,1
NE,1929268,3
NV,3034392,4
NH,1356458,2
NJ,8908520,12
NM,2095428,3
NY,19542209,27
NC,10383620,13
ND,760077,1
OH,11689442,16
OK,3943079,5
OR,4190713,5
PA,12807060,18
RI,1057315,2
SC,5084127,7
SD,882235,1
TN,6770010,9
TX,28701845,36
UT,3161105,4
VT,626299,1
VA,8517685,11
WA,7535591,10
WV,1805832,3
WI,5813568,8
WY,577737,1